"","bookid","clusterid","itemid","order"
"1","1","m1","m033q01",1
"2","1","m1","m034q01t",1
"3","1","m1","m155q01",1
"4","1","m1","m155q02d",1
"5","1","m1","m155q03d",1
"6","1","m1","m155q04t",1
"7","1","m1","m462q01d",1
"8","1","m1","m411q01",1
"9","1","m1","m474q01",1
"10","1","m1","m803q01t",1
"11","1","m1","m442q02",1
"12","1","m1","m411q02",1
"13","1","r1","r220q02b",2
"14","1","r1","r102q07",2
"15","1","r1","r220q04",2
"16","1","r1","r219q02",2
"17","1","r1","r220q05",2
"18","1","r1","r220q06",2
"19","1","r1","r067q04",2
"20","1","r1","r102q05",2
"21","1","r1","r067q05",2
"22","1","r1","r220q01",2
"23","1","r1","r067q01",2
"24","1","r1","r102q04a",2
"25","1","r3a","r447q06",3
"26","1","r3a","r452q03",3
"27","1","r3a","r452q06",3
"28","1","r3a","r452q07",3
"29","1","r3a","r414q06",3
"30","1","r3a","r458q07",3
"31","1","r3a","r458q04",3
"32","1","r3a","r452q04",3
"33","1","r3a","r447q04",3
"34","1","r3a","r447q01t",3
"35","1","r3a","r414q09",3
"36","1","r3a","r447q05",3
"37","1","r3a","r414q02",3
"38","1","r3a","r458q01",3
"39","1","r3a","r414q11",3
"40","1","m3","m603q02t",4
"41","1","m3","m423q01",4
"42","1","m3","m406q01",4
"43","1","m3","m571q01",4
"44","1","m3","m496q01t",4
"45","1","m3","m496q02",4
"46","1","m3","m192q01t",4
"47","1","m3","m603q01t",4
"48","1","m3","m564q01",4
"49","1","m3","m406q02",4
"50","1","m3","m564q02",4
"51","2","r1","r220q02b",1
"52","2","r1","r102q07",1
"53","2","r1","r220q04",1
"54","2","r1","r219q02",1
"55","2","r1","r220q05",1
"56","2","r1","r220q06",1
"57","2","r1","r067q04",1
"58","2","r1","r102q05",1
"59","2","r1","r067q05",1
"60","2","r1","r220q01",1
"61","2","r1","r067q01",1
"62","2","r1","r102q04a",1
"63","2","s1","s428q01",2
"64","2","s1","s131q02d",2
"65","2","s1","s131q04d",2
"66","2","s1","s514q02",2
"67","2","s1","s514q04",2
"68","2","s1","s428q05",2
"69","2","s1","s438q01t",2
"70","2","s1","s514q03",2
"71","2","s1","s465q01",2
"72","2","s1","s465q02",2
"73","2","s1","s438q02",2
"74","2","s1","s465q04",2
"75","2","s1","s438q03d",2
"76","2","s1","s428q03",2
"77","2","s1","s415q02",2
"78","2","s1","s415q08t",2
"79","2","s1","s415q07t",2
"80","2","r4a","r083q01",3
"81","2","r4a","r083q02",3
"82","2","r4a","r083q04",3
"83","2","r4a","r101q02",3
"84","2","r4a","r442q05",3
"85","2","r4a","r442q02",3
"86","2","r4a","r101q03",3
"87","2","r4a","r442q03",3
"88","2","r4a","r245q02",3
"89","2","r4a","r083q03",3
"90","2","r4a","r442q06",3
"91","2","r4a","r442q07",3
"92","2","r4a","r101q01",3
"93","2","r4a","r101q05",3
"94","2","r4a","r101q04",3
"95","2","r4a","r245q01",3
"96","2","r7","r460q06",4
"97","2","r7","r456q02",4
"98","2","r7","r432q06t",4
"99","2","r7","r456q06",4
"100","2","r7","r460q01",4
"101","2","r7","r460q05",4
"102","2","r7","r432q05",4
"103","2","r7","r456q01",4
"104","2","r7","r466q06",4
"105","2","r7","r466q03t",4
"106","2","r7","r446q03",4
"107","2","r7","r432q01",4
"108","2","r7","r466q02",4
"109","2","r7","r446q06",4
"110","3","s1","s428q01",1
"111","3","s1","s131q02d",1
"112","3","s1","s131q04d",1
"113","3","s1","s514q02",1
"114","3","s1","s514q04",1
"115","3","s1","s428q05",1
"116","3","s1","s438q01t",1
"117","3","s1","s514q03",1
"118","3","s1","s465q01",1
"119","3","s1","s465q02",1
"120","3","s1","s438q02",1
"121","3","s1","s465q04",1
"122","3","s1","s438q03d",1
"123","3","s1","s428q03",1
"124","3","s1","s415q02",1
"125","3","s1","s415q08t",1
"126","3","s1","s415q07t",1
"127","3","r3a","r447q06",2
"128","3","r3a","r452q03",2
"129","3","r3a","r452q06",2
"130","3","r3a","r452q07",2
"131","3","r3a","r414q06",2
"132","3","r3a","r458q07",2
"133","3","r3a","r458q04",2
"134","3","r3a","r452q04",2
"135","3","r3a","r447q04",2
"136","3","r3a","r447q01t",2
"137","3","r3a","r414q09",2
"138","3","r3a","r447q05",2
"139","3","r3a","r414q02",2
"140","3","r3a","r458q01",2
"141","3","r3a","r414q11",2
"142","3","m2","m420q01t",3
"143","3","m2","m273q01t",3
"144","3","m2","m828q03",3
"145","3","m2","m408q01t",3
"146","3","m2","m828q02",3
"147","3","m2","m828q01",3
"148","3","m2","m447q01",3
"149","3","m2","m464q01t",3
"150","3","m2","m446q01",3
"151","3","m2","m446q02",3
"152","3","m2","m800q01",3
"153","3","m2","m559q01",3
"154","3","s3","s425q05",4
"155","3","s3","s498q04",4
"156","3","s3","s256q01",4
"157","3","s3","s413q06",4
"158","3","s3","s478q01",4
"159","3","s3","s413q04t",4
"160","3","s3","s326q02",4
"161","3","s3","s326q03",4
"162","3","s3","s326q04t",4
"163","3","s3","s413q05",4
"164","3","s3","s326q01",4
"165","3","s3","s498q02t",4
"166","3","s3","s498q03",4
"167","3","s3","s425q04",4
"168","3","s3","s425q02",4
"169","3","s3","s425q03",4
"170","3","s3","s478q03t",4
"171","3","s3","s478q02t",4
"172","4","r3a","r447q06",1
"173","4","r3a","r452q03",1
"174","4","r3a","r452q06",1
"175","4","r3a","r452q07",1
"176","4","r3a","r414q06",1
"177","4","r3a","r458q07",1
"178","4","r3a","r458q04",1
"179","4","r3a","r452q04",1
"180","4","r3a","r447q04",1
"181","4","r3a","r447q01t",1
"182","4","r3a","r414q09",1
"183","4","r3a","r447q05",1
"184","4","r3a","r414q02",1
"185","4","r3a","r458q01",1
"186","4","r3a","r414q11",1
"187","4","r4a","r083q01",2
"188","4","r4a","r083q02",2
"189","4","r4a","r083q04",2
"190","4","r4a","r101q02",2
"191","4","r4a","r442q05",2
"192","4","r4a","r442q02",2
"193","4","r4a","r101q03",2
"194","4","r4a","r442q03",2
"195","4","r4a","r245q02",2
"196","4","r4a","r083q03",2
"197","4","r4a","r442q06",2
"198","4","r4a","r442q07",2
"199","4","r4a","r101q01",2
"200","4","r4a","r101q05",2
"201","4","r4a","r101q04",2
"202","4","r4a","r245q01",2
"203","4","s2","s519q03",3
"204","4","s2","s466q05",3
"205","4","s2","s521q02",3
"206","4","s2","s519q02t",3
"207","4","s2","s466q01t",3
"208","4","s2","s269q01",3
"209","4","s2","s521q06",3
"210","4","s2","s466q07t",3
"211","4","s2","s269q04t",3
"212","4","s2","s519q01",3
"213","4","s2","s408q04t",3
"214","4","s2","s527q03t",3
"215","4","s2","s408q05",3
"216","4","s2","s527q04t",3
"217","4","s2","s269q03d",3
"218","4","s2","s408q03",3
"219","4","s2","s527q01t",3
"220","4","s2","s408q01",3
"221","4","r2","r104q01",4
"222","4","r2","r227q06",4
"223","4","r2","r111q06b",4
"224","4","r2","r055q05",4
"225","4","r2","r227q02t",4
"226","4","r2","r227q03",4
"227","4","r2","r055q02",4
"228","4","r2","r055q01",4
"229","4","r2","r104q02",4
"230","4","r2","r111q02b",4
"231","4","r2","r104q05",4
"232","4","r2","r111q01",4
"233","4","r2","r055q03",4
"234","4","r2","r227q01",4
"235","5","r4a","r083q01",1
"236","5","r4a","r083q02",1
"237","5","r4a","r083q04",1
"238","5","r4a","r101q02",1
"239","5","r4a","r442q05",1
"240","5","r4a","r442q02",1
"241","5","r4a","r101q03",1
"242","5","r4a","r442q03",1
"243","5","r4a","r245q02",1
"244","5","r4a","r083q03",1
"245","5","r4a","r442q06",1
"246","5","r4a","r442q07",1
"247","5","r4a","r101q01",1
"248","5","r4a","r101q05",1
"249","5","r4a","r101q04",1
"250","5","r4a","r245q01",1
"251","5","m2","m420q01t",2
"252","5","m2","m273q01t",2
"253","5","m2","m828q03",2
"254","5","m2","m408q01t",2
"255","5","m2","m828q02",2
"256","5","m2","m828q01",2
"257","5","m2","m447q01",2
"258","5","m2","m464q01t",2
"259","5","m2","m446q01",2
"260","5","m2","m446q02",2
"261","5","m2","m800q01",2
"262","5","m2","m559q01",2
"263","5","r5","r455q05t",3
"264","5","r5","r424q07",3
"265","5","r5","r406q01",3
"266","5","r5","r404q06",3
"267","5","r5","r404q10a",3
"268","5","r5","r424q02t",3
"269","5","r5","r406q02",3
"270","5","r5","r404q10b",3
"271","5","r5","r404q03",3
"272","5","r5","r404q07t",3
"273","5","r5","r424q03",3
"274","5","r5","r406q05",3
"275","5","r5","r455q02",3
"276","5","r5","r455q04",3
"277","5","r5","r455q03",3
"278","5","m1","m033q01",4
"279","5","m1","m034q01t",4
"280","5","m1","m155q01",4
"281","5","m1","m155q02d",4
"282","5","m1","m155q03d",4
"283","5","m1","m155q04t",4
"284","5","m1","m462q01d",4
"285","5","m1","m411q01",4
"286","5","m1","m474q01",4
"287","5","m1","m803q01t",4
"288","5","m1","m442q02",4
"289","5","m1","m411q02",4
"290","6","r5","r455q05t",1
"291","6","r5","r424q07",1
"292","6","r5","r406q01",1
"293","6","r5","r404q06",1
"294","6","r5","r404q10a",1
"295","6","r5","r424q02t",1
"296","6","r5","r406q02",1
"297","6","r5","r404q10b",1
"298","6","r5","r404q03",1
"299","6","r5","r404q07t",1
"300","6","r5","r424q03",1
"301","6","r5","r406q05",1
"302","6","r5","r455q02",1
"303","6","r5","r455q04",1
"304","6","r5","r455q03",1
"305","6","r6","r437q07",2
"306","6","r6","r412q08",2
"307","6","r6","r420q02",2
"308","6","r6","r420q10",2
"309","6","r6","r412q06t",2
"310","6","r6","r453q04",2
"311","6","r6","r437q06",2
"312","6","r6","r412q05",2
"313","6","r6","r453q01",2
"314","6","r6","r420q06",2
"315","6","r6","r437q01",2
"316","6","r6","r453q06",2
"317","6","r6","r412q01",2
"318","6","r6","r420q09",2
"319","6","r6","r453q05t",2
"320","6","r7","r460q06",3
"321","6","r7","r456q02",3
"322","6","r7","r432q06t",3
"323","6","r7","r456q06",3
"324","6","r7","r460q01",3
"325","6","r7","r460q05",3
"326","6","r7","r432q05",3
"327","6","r7","r456q01",3
"328","6","r7","r466q06",3
"329","6","r7","r466q03t",3
"330","6","r7","r446q03",3
"331","6","r7","r432q01",3
"332","6","r7","r466q02",3
"333","6","r7","r446q06",3
"334","6","r3a","r447q06",4
"335","6","r3a","r452q03",4
"336","6","r3a","r452q06",4
"337","6","r3a","r452q07",4
"338","6","r3a","r414q06",4
"339","6","r3a","r458q07",4
"340","6","r3a","r458q04",4
"341","6","r3a","r452q04",4
"342","6","r3a","r447q04",4
"343","6","r3a","r447q01t",4
"344","6","r3a","r414q09",4
"345","6","r3a","r447q05",4
"346","6","r3a","r414q02",4
"347","6","r3a","r458q01",4
"348","6","r3a","r414q11",4
"349","7","r6","r437q07",1
"350","7","r6","r412q08",1
"351","7","r6","r420q02",1
"352","7","r6","r420q10",1
"353","7","r6","r412q06t",1
"354","7","r6","r453q04",1
"355","7","r6","r437q06",1
"356","7","r6","r412q05",1
"357","7","r6","r453q01",1
"358","7","r6","r420q06",1
"359","7","r6","r437q01",1
"360","7","r6","r453q06",1
"361","7","r6","r412q01",1
"362","7","r6","r420q09",1
"363","7","r6","r453q05t",1
"364","7","m3","m603q02t",2
"365","7","m3","m423q01",2
"366","7","m3","m406q01",2
"367","7","m3","m571q01",2
"368","7","m3","m496q01t",2
"369","7","m3","m496q02",2
"370","7","m3","m192q01t",2
"371","7","m3","m603q01t",2
"372","7","m3","m564q01",2
"373","7","m3","m406q02",2
"374","7","m3","m564q02",2
"375","7","s3","s425q05",3
"376","7","s3","s498q04",3
"377","7","s3","s256q01",3
"378","7","s3","s413q06",3
"379","7","s3","s478q01",3
"380","7","s3","s413q04t",3
"381","7","s3","s326q02",3
"382","7","s3","s326q03",3
"383","7","s3","s326q04t",3
"384","7","s3","s413q05",3
"385","7","s3","s326q01",3
"386","7","s3","s498q02t",3
"387","7","s3","s498q03",3
"388","7","s3","s425q04",3
"389","7","s3","s425q02",3
"390","7","s3","s425q03",3
"391","7","s3","s478q03t",3
"392","7","s3","s478q02t",3
"393","7","r4a","r083q01",4
"394","7","r4a","r083q02",4
"395","7","r4a","r083q04",4
"396","7","r4a","r101q02",4
"397","7","r4a","r442q05",4
"398","7","r4a","r442q02",4
"399","7","r4a","r101q03",4
"400","7","r4a","r442q03",4
"401","7","r4a","r245q02",4
"402","7","r4a","r083q03",4
"403","7","r4a","r442q06",4
"404","7","r4a","r442q07",4
"405","7","r4a","r101q01",4
"406","7","r4a","r101q05",4
"407","7","r4a","r101q04",4
"408","7","r4a","r245q01",4
"409","8","r2","r104q01",1
"410","8","r2","r227q06",1
"411","8","r2","r111q06b",1
"412","8","r2","r055q05",1
"413","8","r2","r227q02t",1
"414","8","r2","r227q03",1
"415","8","r2","r055q02",1
"416","8","r2","r055q01",1
"417","8","r2","r104q02",1
"418","8","r2","r111q02b",1
"419","8","r2","r104q05",1
"420","8","r2","r111q01",1
"421","8","r2","r055q03",1
"422","8","r2","r227q01",1
"423","8","m1","m033q01",2
"424","8","m1","m034q01t",2
"425","8","m1","m155q01",2
"426","8","m1","m155q02d",2
"427","8","m1","m155q03d",2
"428","8","m1","m155q04t",2
"429","8","m1","m462q01d",2
"430","8","m1","m411q01",2
"431","8","m1","m474q01",2
"432","8","m1","m803q01t",2
"433","8","m1","m442q02",2
"434","8","m1","m411q02",2
"435","8","s1","s428q01",3
"436","8","s1","s131q02d",3
"437","8","s1","s131q04d",3
"438","8","s1","s514q02",3
"439","8","s1","s514q04",3
"440","8","s1","s428q05",3
"441","8","s1","s438q01t",3
"442","8","s1","s514q03",3
"443","8","s1","s465q01",3
"444","8","s1","s465q02",3
"445","8","s1","s438q02",3
"446","8","s1","s465q04",3
"447","8","s1","s438q03d",3
"448","8","s1","s428q03",3
"449","8","s1","s415q02",3
"450","8","s1","s415q08t",3
"451","8","s1","s415q07t",3
"452","8","r6","r437q07",4
"453","8","r6","r412q08",4
"454","8","r6","r420q02",4
"455","8","r6","r420q10",4
"456","8","r6","r412q06t",4
"457","8","r6","r453q04",4
"458","8","r6","r437q06",4
"459","8","r6","r412q05",4
"460","8","r6","r453q01",4
"461","8","r6","r420q06",4
"462","8","r6","r437q01",4
"463","8","r6","r453q06",4
"464","8","r6","r412q01",4
"465","8","r6","r420q09",4
"466","8","r6","r453q05t",4
"467","9","m2","m420q01t",1
"468","9","m2","m273q01t",1
"469","9","m2","m828q03",1
"470","9","m2","m408q01t",1
"471","9","m2","m828q02",1
"472","9","m2","m828q01",1
"473","9","m2","m447q01",1
"474","9","m2","m464q01t",1
"475","9","m2","m446q01",1
"476","9","m2","m446q02",1
"477","9","m2","m800q01",1
"478","9","m2","m559q01",1
"479","9","s2","s519q03",2
"480","9","s2","s466q05",2
"481","9","s2","s521q02",2
"482","9","s2","s519q02t",2
"483","9","s2","s466q01t",2
"484","9","s2","s269q01",2
"485","9","s2","s521q06",2
"486","9","s2","s466q07t",2
"487","9","s2","s269q04t",2
"488","9","s2","s519q01",2
"489","9","s2","s408q04t",2
"490","9","s2","s527q03t",2
"491","9","s2","s408q05",2
"492","9","s2","s527q04t",2
"493","9","s2","s269q03d",2
"494","9","s2","s408q03",2
"495","9","s2","s527q01t",2
"496","9","s2","s408q01",2
"497","9","r6","r437q07",3
"498","9","r6","r412q08",3
"499","9","r6","r420q02",3
"500","9","r6","r420q10",3
"501","9","r6","r412q06t",3
"502","9","r6","r453q04",3
"503","9","r6","r437q06",3
"504","9","r6","r412q05",3
"505","9","r6","r453q01",3
"506","9","r6","r420q06",3
"507","9","r6","r437q01",3
"508","9","r6","r453q06",3
"509","9","r6","r412q01",3
"510","9","r6","r420q09",3
"511","9","r6","r453q05t",3
"512","9","r1","r220q02b",4
"513","9","r1","r102q07",4
"514","9","r1","r220q04",4
"515","9","r1","r219q02",4
"516","9","r1","r220q05",4
"517","9","r1","r220q06",4
"518","9","r1","r067q04",4
"519","9","r1","r102q05",4
"520","9","r1","r067q05",4
"521","9","r1","r220q01",4
"522","9","r1","r067q01",4
"523","9","r1","r102q04a",4
"524","10","s2","s519q03",1
"525","10","s2","s466q05",1
"526","10","s2","s521q02",1
"527","10","s2","s519q02t",1
"528","10","s2","s466q01t",1
"529","10","s2","s269q01",1
"530","10","s2","s521q06",1
"531","10","s2","s466q07t",1
"532","10","s2","s269q04t",1
"533","10","s2","s519q01",1
"534","10","s2","s408q04t",1
"535","10","s2","s527q03t",1
"536","10","s2","s408q05",1
"537","10","s2","s527q04t",1
"538","10","s2","s269q03d",1
"539","10","s2","s408q03",1
"540","10","s2","s527q01t",1
"541","10","s2","s408q01",1
"542","10","r5","r455q05t",2
"543","10","r5","r424q07",2
"544","10","r5","r406q01",2
"545","10","r5","r404q06",2
"546","10","r5","r404q10a",2
"547","10","r5","r424q02t",2
"548","10","r5","r406q02",2
"549","10","r5","r404q10b",2
"550","10","r5","r404q03",2
"551","10","r5","r404q07t",2
"552","10","r5","r424q03",2
"553","10","r5","r406q05",2
"554","10","r5","r455q02",2
"555","10","r5","r455q04",2
"556","10","r5","r455q03",2
"557","10","m3","m603q02t",3
"558","10","m3","m423q01",3
"559","10","m3","m406q01",3
"560","10","m3","m571q01",3
"561","10","m3","m496q01t",3
"562","10","m3","m496q02",3
"563","10","m3","m192q01t",3
"564","10","m3","m603q01t",3
"565","10","m3","m564q01",3
"566","10","m3","m406q02",3
"567","10","m3","m564q02",3
"568","10","s1","s428q01",4
"569","10","s1","s131q02d",4
"570","10","s1","s131q04d",4
"571","10","s1","s514q02",4
"572","10","s1","s514q04",4
"573","10","s1","s428q05",4
"574","10","s1","s438q01t",4
"575","10","s1","s514q03",4
"576","10","s1","s465q01",4
"577","10","s1","s465q02",4
"578","10","s1","s438q02",4
"579","10","s1","s465q04",4
"580","10","s1","s438q03d",4
"581","10","s1","s428q03",4
"582","10","s1","s415q02",4
"583","10","s1","s415q08t",4
"584","10","s1","s415q07t",4
"585","11","m3","m603q02t",1
"586","11","m3","m423q01",1
"587","11","m3","m406q01",1
"588","11","m3","m571q01",1
"589","11","m3","m496q01t",1
"590","11","m3","m496q02",1
"591","11","m3","m192q01t",1
"592","11","m3","m603q01t",1
"593","11","m3","m564q01",1
"594","11","m3","m406q02",1
"595","11","m3","m564q02",1
"596","11","r7","r460q06",2
"597","11","r7","r456q02",2
"598","11","r7","r432q06t",2
"599","11","r7","r456q06",2
"600","11","r7","r460q01",2
"601","11","r7","r460q05",2
"602","11","r7","r432q05",2
"603","11","r7","r456q01",2
"604","11","r7","r466q06",2
"605","11","r7","r466q03t",2
"606","11","r7","r446q03",2
"607","11","r7","r432q01",2
"608","11","r7","r466q02",2
"609","11","r7","r446q06",2
"610","11","r2","r104q01",3
"611","11","r2","r227q06",3
"612","11","r2","r111q06b",3
"613","11","r2","r055q05",3
"614","11","r2","r227q02t",3
"615","11","r2","r227q03",3
"616","11","r2","r055q02",3
"617","11","r2","r055q01",3
"618","11","r2","r104q02",3
"619","11","r2","r111q02b",3
"620","11","r2","r104q05",3
"621","11","r2","r111q01",3
"622","11","r2","r055q03",3
"623","11","r2","r227q01",3
"624","11","m2","m420q01t",4
"625","11","m2","m273q01t",4
"626","11","m2","m828q03",4
"627","11","m2","m408q01t",4
"628","11","m2","m828q02",4
"629","11","m2","m828q01",4
"630","11","m2","m447q01",4
"631","11","m2","m464q01t",4
"632","11","m2","m446q01",4
"633","11","m2","m446q02",4
"634","11","m2","m800q01",4
"635","11","m2","m559q01",4
"636","12","r7","r460q06",1
"637","12","r7","r456q02",1
"638","12","r7","r432q06t",1
"639","12","r7","r456q06",1
"640","12","r7","r460q01",1
"641","12","r7","r460q05",1
"642","12","r7","r432q05",1
"643","12","r7","r456q01",1
"644","12","r7","r466q06",1
"645","12","r7","r466q03t",1
"646","12","r7","r446q03",1
"647","12","r7","r432q01",1
"648","12","r7","r466q02",1
"649","12","r7","r446q06",1
"650","12","s3","s425q05",2
"651","12","s3","s498q04",2
"652","12","s3","s256q01",2
"653","12","s3","s413q06",2
"654","12","s3","s478q01",2
"655","12","s3","s413q04t",2
"656","12","s3","s326q02",2
"657","12","s3","s326q03",2
"658","12","s3","s326q04t",2
"659","12","s3","s413q05",2
"660","12","s3","s326q01",2
"661","12","s3","s498q02t",2
"662","12","s3","s498q03",2
"663","12","s3","s425q04",2
"664","12","s3","s425q02",2
"665","12","s3","s425q03",2
"666","12","s3","s478q03t",2
"667","12","s3","s478q02t",2
"668","12","m1","m033q01",3
"669","12","m1","m034q01t",3
"670","12","m1","m155q01",3
"671","12","m1","m155q02d",3
"672","12","m1","m155q03d",3
"673","12","m1","m155q04t",3
"674","12","m1","m462q01d",3
"675","12","m1","m411q01",3
"676","12","m1","m474q01",3
"677","12","m1","m803q01t",3
"678","12","m1","m442q02",3
"679","12","m1","m411q02",3
"680","12","s2","s519q03",4
"681","12","s2","s466q05",4
"682","12","s2","s521q02",4
"683","12","s2","s519q02t",4
"684","12","s2","s466q01t",4
"685","12","s2","s269q01",4
"686","12","s2","s521q06",4
"687","12","s2","s466q07t",4
"688","12","s2","s269q04t",4
"689","12","s2","s519q01",4
"690","12","s2","s408q04t",4
"691","12","s2","s527q03t",4
"692","12","s2","s408q05",4
"693","12","s2","s527q04t",4
"694","12","s2","s269q03d",4
"695","12","s2","s408q03",4
"696","12","s2","s527q01t",4
"697","12","s2","s408q01",4
"698","13","s3","s425q05",1
"699","13","s3","s498q04",1
"700","13","s3","s256q01",1
"701","13","s3","s413q06",1
"702","13","s3","s478q01",1
"703","13","s3","s413q04t",1
"704","13","s3","s326q02",1
"705","13","s3","s326q03",1
"706","13","s3","s326q04t",1
"707","13","s3","s413q05",1
"708","13","s3","s326q01",1
"709","13","s3","s498q02t",1
"710","13","s3","s498q03",1
"711","13","s3","s425q04",1
"712","13","s3","s425q02",1
"713","13","s3","s425q03",1
"714","13","s3","s478q03t",1
"715","13","s3","s478q02t",1
"716","13","r2","r104q01",2
"717","13","r2","r227q06",2
"718","13","r2","r111q06b",2
"719","13","r2","r055q05",2
"720","13","r2","r227q02t",2
"721","13","r2","r227q03",2
"722","13","r2","r055q02",2
"723","13","r2","r055q01",2
"724","13","r2","r104q02",2
"725","13","r2","r111q02b",2
"726","13","r2","r104q05",2
"727","13","r2","r111q01",2
"728","13","r2","r055q03",2
"729","13","r2","r227q01",2
"730","13","r1","r220q02b",3
"731","13","r1","r102q07",3
"732","13","r1","r220q04",3
"733","13","r1","r219q02",3
"734","13","r1","r220q05",3
"735","13","r1","r220q06",3
"736","13","r1","r067q04",3
"737","13","r1","r102q05",3
"738","13","r1","r067q05",3
"739","13","r1","r220q01",3
"740","13","r1","r067q01",3
"741","13","r1","r102q04a",3
"742","13","r5","r455q05t",4
"743","13","r5","r424q07",4
"744","13","r5","r406q01",4
"745","13","r5","r404q06",4
"746","13","r5","r404q10a",4
"747","13","r5","r424q02t",4
"748","13","r5","r406q02",4
"749","13","r5","r404q10b",4
"750","13","r5","r404q03",4
"751","13","r5","r404q07t",4
"752","13","r5","r424q03",4
"753","13","r5","r406q05",4
"754","13","r5","r455q02",4
"755","13","r5","r455q04",4
"756","13","r5","r455q03",4
