"","itemid","clusterid","max","subject","format","noptions"
"1","m033q01","m1",1,"m","mc",4
"2","m034q01t","m1",1,"m","ccr",0
"3","m155q01","m1",1,"m","ocr",0
"4","m155q02d","m1",2,"m","ocr",0
"5","m155q03d","m1",2,"m","ocr",0
"6","m155q04t","m1",1,"m","cmc",0
"12","m411q01","m1",1,"m","sr",0
"13","m411q02","m1",1,"m","mc",4
"16","m442q02","m1",1,"m","ccr",0
"20","m462q01d","m1",2,"m","ocr",0
"22","m474q01","m1",1,"m","ccr",0
"32","m803q01t","m1",1,"m","sr",0
"8","m273q01t","m2",1,"m","cmc",0
"11","m408q01t","m2",1,"m","cmc",0
"14","m420q01t","m2",1,"m","cmc",0
"17","m446q01","m2",1,"m","sr",0
"18","m446q02","m2",1,"m","ocr",0
"19","m447q01","m2",1,"m","mc",4
"21","m464q01t","m2",1,"m","sr",0
"25","m559q01","m2",1,"m","mc",4
"31","m800q01","m2",1,"m","mc",4
"33","m828q01","m2",1,"m","ocr",0
"34","m828q02","m2",1,"m","sr",0
"35","m828q03","m2",1,"m","sr",0
"7","m192q01t","m3",1,"m","cmc",0
"9","m406q01","m3",1,"m","ocr",0
"10","m406q02","m3",1,"m","ocr",0
"15","m423q01","m3",1,"m","mc",4
"23","m496q01t","m3",1,"m","cmc",0
"24","m496q02","m3",1,"m","sr",0
"26","m564q01","m3",1,"m","mc",4
"27","m564q02","m3",1,"m","mc",5
"28","m571q01","m3",1,"m","mc",4
"29","m603q01t","m3",1,"m","cmc",0
"30","m603q02t","m3",1,"m","sr",0
"40","r067q01","r1",1,"r","mc",4
"41","r067q04","r1",2,"r","ocr",0
"42","r067q05","r1",2,"r","ocr",0
"52","r102q04a","r1",1,"r","ocr",0
"53","r102q05","r1",1,"r","ccr",0
"54","r102q07","r1",1,"r","mc",4
"61","r219q02","r1",1,"r","ocr",0
"62","r220q01","r1",1,"r","sr",0
"63","r220q02b","r1",1,"r","mc",4
"64","r220q04","r1",1,"r","mc",4
"65","r220q05","r1",1,"r","mc",4
"66","r220q06","r1",1,"r","mc",4
"36","r055q01","r2",1,"r","mc",4
"37","r055q02","r2",1,"r","ocr",0
"38","r055q03","r2",1,"r","ocr",0
"39","r055q05","r2",1,"r","ocr",0
"55","r104q01","r2",1,"r","ccr",0
"56","r104q02","r2",1,"r","ccr",0
"57","r104q05","r2",2,"r","sr",0
"58","r111q01","r2",1,"r","mc",4
"59","r111q02b","r2",2,"r","ocr",0
"60","r111q06b","r2",2,"r","ocr",0
"67","r227q01","r2",1,"r","mc",4
"68","r227q02t","r2",2,"r","cmc",0
"69","r227q03","r2",1,"r","ocr",0
"70","r227q06","r2",1,"r","sr",0
"85","r414q02","r3a",1,"r","mc",5
"86","r414q06","r3a",1,"r","mc",4
"87","r414q09","r3a",1,"r","cmc",0
"88","r414q11","r3a",1,"r","ocr",0
"109","r447q01t","r3a",1,"r","cmc",0
"110","r447q04","r3a",1,"r","ccr",0
"111","r447q05","r3a",1,"r","mc",0
"112","r447q06","r3a",1,"r","ocr",0
"113","r452q03","r3a",1,"r","sr",0
"114","r452q04","r3a",1,"r","mc",0
"115","r452q06","r3a",1,"r","ccr",0
"116","r452q07","r3a",1,"r","ocr",0
"128","r458q01","r3a",1,"r","mc",0
"129","r458q04","r3a",1,"r","mc",0
"130","r458q07","r3a",1,"r","ccr",0
"43","r083q01","r4a",1,"r","mc",4
"44","r083q02","r4a",1,"r","sr",0
"45","r083q03","r4a",1,"r","ccr",0
"46","r083q04","r4a",1,"r","mc",4
"47","r101q01","r4a",1,"r","mc",4
"48","r101q02","r4a",1,"r","mc",4
"49","r101q03","r4a",1,"r","mc",4
"50","r101q04","r4a",1,"r","mc",4
"51","r101q05","r4a",1,"r","mc",4
"71","r245q01","r4a",1,"r","ccr",0
"72","r245q02","r4a",1,"r","ccr",0
"102","r442q02","r4a",1,"r","mc",4
"103","r442q03","r4a",1,"r","mc",4
"104","r442q05","r4a",1,"r","ocr",0
"105","r442q06","r4a",1,"r","mc",0
"106","r442q07","r4a",1,"r","mc",0
"73","r404q03","r5",1,"r","mc",0
"74","r404q06","r5",1,"r","mc",0
"75","r404q07t","r5",1,"r","sr",0
"76","r404q10a","r5",1,"r","mc",0
"77","r404q10b","r5",1,"r","mc",4
"78","r406q01","r5",1,"r","mc",4
"79","r406q02","r5",1,"r","cmc",0
"80","r406q05","r5",1,"r","ocr",0
"93","r424q02t","r5",1,"r","sr",0
"94","r424q03","r5",1,"r","ocr",0
"95","r424q07","r5",1,"r","mc",0
"121","r455q02","r5",1,"r","ocr",0
"122","r455q03","r5",1,"r","ocr",0
"123","r455q04","r5",1,"r","ocr",0
"124","r455q05t","r5",1,"r","ocr",0
"81","r412q01","r6",1,"r","ocr",0
"82","r412q05","r6",1,"r","ocr",0
"83","r412q06t","r6",1,"r","ocr",0
"84","r412q08","r6",1,"r","ocr",0
"89","r420q02","r6",1,"r","mc",4
"90","r420q06","r6",1,"r","ocr",0
"91","r420q09","r6",1,"r","mc",5
"92","r420q10","r6",2,"r","mc",4
"99","r437q01","r6",1,"r","ccr",0
"100","r437q06","r6",1,"r","ocr",0
"101","r437q07","r6",1,"r","cmc",0
"117","r453q01","r6",1,"r","cmc",0
"118","r453q04","r6",1,"r","mc",4
"119","r453q05t","r6",1,"r","mc",4
"120","r453q06","r6",1,"r","ocr",0
"96","r432q01","r7",1,"r","mc",0
"97","r432q05","r7",1,"r","sr",0
"98","r432q06t","r7",1,"r","ocr",0
"107","r446q03","r7",1,"r","ccr",0
"108","r446q06","r7",1,"r","ocr",0
"125","r456q01","r7",1,"r","mc",4
"126","r456q02","r7",1,"r","ocr",0
"127","r456q06","r7",1,"r","mc",0
"131","r460q01","r7",1,"r","ocr",0
"132","r460q05","r7",1,"r","cmc",0
"133","r460q06","r7",1,"r","mc",4
"134","r466q02","r7",1,"r","mc",4
"135","r466q03t","r7",1,"r","ocr",0
"136","r466q06","r7",1,"r","sr",0
"137","s131q02d","s1",1,"s","mc",4
"138","s131q04d","s1",1,"s","ocr",0
"154","s415q02","s1",1,"s","ocr",0
"155","s415q07t","s1",1,"s","mc",4
"156","s415q08t","s1",1,"s","mc",4
"161","s428q01","s1",1,"s","ocr",0
"162","s428q03","s1",1,"s","ocr",0
"163","s428q05","s1",1,"s","ocr",0
"164","s438q01t","s1",1,"s","ocr",0
"165","s438q02","s1",1,"s","cmc",0
"166","s438q03d","s1",1,"s","ccr",0
"167","s465q01","s1",2,"s","or",0
"168","s465q02","s1",1,"s","or",0
"169","s465q04","s1",1,"s","mc",4
"179","s514q02","s1",1,"s","cmc",0
"180","s514q03","s1",1,"s","mc",4
"181","s514q04","s1",1,"s","cmc",0
"140","s269q01","s2",1,"s","mc",4
"141","s269q03d","s2",1,"s","ocr",0
"142","s269q04t","s2",1,"s","cmc",0
"147","s408q01","s2",1,"s","cmc",0
"148","s408q03","s2",1,"s","mc",4
"149","s408q04t","s2",1,"s","ocr",0
"150","s408q05","s2",1,"s","ocr",0
"170","s466q01t","s2",1,"s","or",0
"171","s466q05","s2",1,"s","or",0
"172","s466q07t","s2",1,"s","cmc",0
"182","s519q01","s2",2,"s","mc",4
"183","s519q02t","s2",1,"s","ccr",0
"184","s519q03","s2",1,"s","mc",4
"185","s521q02","s2",1,"s","cmc",0
"186","s521q06","s2",1,"s","cmc",0
"187","s527q01t","s2",1,"s","mc",4
"188","s527q03t","s2",1,"s","or",0
"189","s527q04t","s2",1,"s","or",0
"139","s256q01","s3",1,"s","mc",4
"143","s326q01","s3",1,"s","ocr",0
"144","s326q02","s3",1,"s","ocr",0
"145","s326q03","s3",1,"s","sr",0
"146","s326q04t","s3",1,"s","mc",4
"151","s413q04t","s3",1,"s","mc",4
"152","s413q05","s3",1,"s","mc",4
"153","s413q06","s3",1,"s","ocr",0
"157","s425q02","s3",1,"s","sr",0
"158","s425q03","s3",1,"s","mc",0
"159","s425q04","s3",1,"s","ocr",0
"160","s425q05","s3",1,"s","ccr",0
"173","s478q01","s3",1,"s","or",0
"174","s478q02t","s3",1,"s","or",0
"175","s478q03t","s3",1,"s","mc",4
"176","s498q02t","s3",1,"s","cmc",0
"177","s498q03","s3",1,"s","mc",4
"178","s498q04","s3",2,"s","or",0
